vyska(m)cas(s)
       2    0,62
       2    0,58
       2    0,68
       4    0,92
       3    0,82
       2    0,64
       2    0,62
       4     0,9
       3    0,76
       2    0,62
       3     0,8
       4     0,9
       2    0,66
       3    0,78
       2    0,64
       2    0,66
       3    0,76
       4    0,92
       3    0,82
       2    0,58
       3    0,76
       4    0,88
       4    0,88
       2    0,62
       4     0,9
       3    0,76
       2     0,6
       4    0,88
       2    0,68
       4    0,86
       4    0,94
       4    0,88
       2     0,6
       4    0,94
       2    0,56
       3    0,78
       2    0,64
       4    0,92
       3    0,78
       3    0,74
       4     0,9
       3     0,8
       2    0,64
       4    0,92
       3    0,78
       3    0,74
       4     0,9
       3    0,74
       2    0,66
       3    0,78
       3    0,84
       4     0,9
       4    0,88
       3    0,78
       4    0,94
       4    0,84
       2    0,58
       3     0,8
       3    0,66
       2    0,62
